Generation 71: Best Fitness: 145.1366803696296, Per-Enemy Fitness: [np.float64(74.63009901717177), np.float64(88.8252886203982), np.float64(66.19788162462294), np.float64(86.10192571783378)]
Generation 72: Best Fitness: 147.9091161919208, Per-Enemy Fitness: [np.float64(86.06497518017193), np.float64(89.00157804100165), np.float64(66.10559716573515), np.float64(86.04192571783379)]
Generation 73: Best Fitness: 158.27985864321164, Per-Enemy Fitness: [np.float64(85.58497518017192), np.float64(89.42157804100167), np.float64(84.6442577864131), np.float64(74.69372471305198)]
Generation 74: Best Fitness: 158.27985864321164, Per-Enemy Fitness: [np.float64(85.58497518017192), np.float64(89.42157804100167), np.float64(84.6442577864131), np.float64(74.69372471305198)]
Generation 75: Best Fitness: 158.27985864321164, Per-Enemy Fitness: [np.float64(85.58497518017192), np.float64(89.42157804100167), np.float64(84.6442577864131), np.float64(74.69372471305198)]
Generation 76: Best Fitness: 158.27985864321164, Per-Enemy Fitness: [np.float64(85.58497518017192), np.float64(89.42157804100167), np.float64(84.6442577864131), np.float64(74.69372471305198)]
Generation 77: Best Fitness: 158.27985864321164, Per-Enemy Fitness: [np.float64(85.58497518017192), np.float64(89.42157804100167), np.float64(84.6442577864131), np.float64(74.69372471305198)]
Generation 78: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 79: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 80: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 81: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 82: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 83: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 84: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 85: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 86: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 87: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 88: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 89: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 90: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 91: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 92: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 93: Best Fitness: 156.06394213001093, Per-Enemy Fitness: [np.float64(74.63352955226856), np.float64(89.40693855665948), np.float64(75.21925648420768), np.float64(86.4619257178338)]
Generation 94: Best Fitness: 159.19163168572265, Per-Enemy Fitness: [np.float64(84.74497518017192), np.float64(89.46693855665949), np.float64(75.20698639161586), np.float64(86.51968104797996)]
Generation 95: Best Fitness: 159.2806049902345, Per-Enemy Fitness: [np.float64(85.04497518017192), np.float64(89.52283177470683), np.float64(75.20698639161586), np.float64(86.51968104797996)]
Generation 96: Best Fitness: 159.2806049902345, Per-Enemy Fitness: [np.float64(85.04497518017192), np.float64(89.52283177470683), np.float64(75.20698639161586), np.float64(86.51968104797996)]
Generation 97: Best Fitness: 159.2806049902345, Per-Enemy Fitness: [np.float64(85.04497518017192), np.float64(89.52283177470683), np.float64(75.20698639161586), np.float64(86.51968104797996)]
Generation 98: Best Fitness: 148.3044525198377, Per-Enemy Fitness: [np.float64(85.10497518017192), np.float64(90.70637245364767), np.float64(66.20090734553948), np.float64(86.40192571783379)]
Generation 99: Best Fitness: 148.3044525198377, Per-Enemy Fitness: [np.float64(85.10497518017192), np.float64(90.70637245364767), np.float64(66.20090734553948), np.float64(86.40192571783379)]
