Enemy, Run, Enemy_Group, Fitness, Player_Life, Enemy_Life, Time, Gain
Enemy 7, Run 9, Enemy Group enemies_group_one, Fitness: 93.18936470590376, Player Life: 82.00000000000017, Enemy Life: 0, Time: 150, Gain: 82.00000000000017
Enemy 8, Run 9, Enemy Group enemies_group_one, Fitness: 30.45092391510478, Player Life: 0, Enemy Life: 60.0, Time: 257, Gain: -60.0
Enemy 1, Run 10, Enemy Group enemies_group_one, Fitness: 94.78506424239102, Player Life: 100, Enemy Life: 0, Time: 184, Gain: 100
Enemy 2, Run 10, Enemy Group enemies_group_one, Fitness: 91.44704041507838, Player Life: 70, Enemy Life: 0, Time: 258, Gain: 70
Enemy 3, Run 10, Enemy Group enemies_group_one, Fitness: 85.96755198344948, Player Life: 22, Enemy Life: 0, Time: 509, Gain: 22
Enemy 4, Run 10, Enemy Group enemies_group_one, Fitness: 21.40528862039816, Player Life: 0, Enemy Life: 70.0, Time: 269, Gain: -70.0
Enemy 5, Run 10, Enemy Group enemies_group_one, Fitness: 91.04901301948917, Player Life: 66.40000000000032, Enemy Life: 0, Time: 268, Gain: 66.40000000000032
Enemy 6, Run 10, Enemy Group enemies_group_one, Fitness: 21.906249799193237, Player Life: 0, Enemy Life: 70.0, Time: 163, Gain: -70.0
Enemy 7, Run 10, Enemy Group enemies_group_one, Fitness: 94.18001907417188, Player Life: 91.00000000000009, Enemy Life: 0, Time: 137, Gain: 91.00000000000009
Enemy 8, Run 10, Enemy Group enemies_group_one, Fitness: 21.53616819497439, Player Life: 0, Enemy Life: 70.0, Time: 236, Gain: -70.0
